tag,text,chunk_file,speaker_age,nationality,ethnicity,gender,year,gold_label,probe_tag,_score_internal
21DC35-217-23SGSIFPW-2020,i wanna try but i really damn scared HHHHAHAHY,COSEM_v5_chunk_1253.txt,23,SG,SI,F,2020,,,0
21DC05-14087-23SGCHM0B-2020,"The only libertarian Republican that went against Trump was Amash, and even he admits that Trump has libertarian tendencies, even though he doesn't necessarily follow through",COSEM_v5_chunk_1086.txt,23,SG,CH,M,2020,,,0
17CF10-5406-20SGCHF00-2016,Wah sian I supposedly end at 12pm can go see one but I need to go sgh for project:(,COSEM_v5_chunk_97.txt,20,SG,CH,F,2016,,,5
17CF36-2674-22SGCHF00-2016,Hehhe i see😁👍🏻 take a good break and recharge for next week of sch!! 💪🏻,COSEM_v5_chunk_432.txt,22,SG,CH,F,2016,,,4
19CF09-1302-19SGINF0F-2016,does anyone need a famous movie or story where like the young one or small one makes the most difference,COSEM_v5_chunk_931.txt,19,SG,IN,F,2016,,,0
17CF34-32407-21SGCHF00-2013,Lily hasn't updated if I'm not wrong. Only I h,COSEM_v5_chunk_392.txt,21,SG,CH,F,2013,,,0
21DC28-10488-21SGCHF00-2019,"It can be a ""Terms and conditions apply."" Then you hyperlink the phrase.",COSEM_v5_chunk_1222.txt,21,SG,CH,F,2019,,,0
18CF55-50568-43SGCHF00-2017,I in toilet.  I just BOMBED too. Hahaha. ...,COSEM_v5_chunk_753.txt,43,SG,CH,F,2017,,,0
17CF10-7926-20SGCHF00-2016,Eh never HAHAHA I going back Sheares now Hor ☝🏿,COSEM_v5_chunk_99.txt,20,SG,CH,F,2016,,,6
18CF50-3161-21SGCHM00-2016,Really sia no one know ur actual full address sia,COSEM_v5_chunk_645.txt,21,SG,CH,M,2016,,,4
21DC20-19012-20SGCHFSL-2019,"HEHE thank u WB/M/CH/21, WK/M/CH/21 and YT/M/CH/21!!!!💕🙆🏻‍♀️ y’all r v awesome",COSEM_v5_chunk_1187.txt,20,SG,CH,F,2019,,,4
18CF40-1938-23SGCHM00-2017,oBike allows you to rent a bicycle all by yourself with low price. Pick it up in any place and ride away wherever you want. Register now to get 5 S$ 1.00 ride coupons.,COSEM_v5_chunk_559.txt,23,SG,CH,M,2017,,,0
17CF36-1896-23TWCHM00-2016,Omg CY/M/CH/22 damn sweet sia. Diabetes liao,COSEM_v5_chunk_432.txt,23,TW,CH,M,2016,,,4
18CM09-402-23SGCHM00-2016,Perry lim is crazy mad about dragon boat,COSEM_v5_chunk_780.txt,23,SG,CH,M,2016,,,0
