tag,text,chunk_file,speaker_age,nationality,ethnicity,gender,year,gold_label,probe_tag,_score_internal
17CF33-281-23SGCHM00-2014,Wah ps not shiok luh got exercise all sia,COSEM_v5_chunk_350.txt,23,SG,CH,M,2014,neg,H1_particle,7
21DC29-744-25SGMAMZA-2020,Defo wtheck sia Nus this is freaking ridiculous. They are taking power from the victims wah cb,COSEM_v5_chunk_1225.txt,25,SG,MA,M,2020,neg,H1_particle,8
18OM01-400-50SGCHM00-2015,Now my daughter also thot that i siao liao ....,COSEM_v5_chunk_878.txt,50,SG,CH,M,2015,neg,H2_codeswitch,6
17CM02-13918-21SGCHM00-2016,Bb got readings meh? I just checked IVLE got no readings eh,COSEM_v5_chunk_461.txt,21,SG,CH,M,2016,neg,H1_particle,6
17CF04-176-20SGCHF00-2016,Firevex house time all along not done by SP,COSEM_v5_chunk_41.txt,20,SG,CH,F,2016,neu,,0
21DC53-962-19SGCHF0D-2018,i feel bad sia i think need 3 months commitment for now.... sian,COSEM_v5_chunk_1341.txt,19,SG,CH,F,2018,neg,H2_codeswitch,6
17CF34-6452-21SGCHF00-2012,Kopitiam is T1 and TM. food court is century s,COSEM_v5_chunk_366.txt,21,SG,CH,F,2012,neu,,0
18CF43-5034-22SGCHF00-2018,淡妝 can alr right 😅 if the cheem cheem kind,COSEM_v5_chunk_612.txt,22,SG,CH,F,2018,neu,,7
21DC20-5980-20SGCHFAC-2019,like u dw lump everyone under neutral then everyone cmi,COSEM_v5_chunk_1174.txt,20,SG,CH,F,2019,neg,H2_codeswitch,0
18CF40-5202-23SGCHF00-2018,I'm teaching every Friday till Oct or Nov period!! PH also ☹️ no other timeslots available sian,COSEM_v5_chunk_562.txt,23,SG,CH,F,2018,neg,H2_codeswitch,6
18CF39-6540-20SGCHM00-2016,Come lah come lah i help you lahh. I play with you nahh. If not i alone also🌚,COSEM_v5_chunk_542.txt,20,SG,CH,M,2016,pos,H1_particle,7
21DC20-14028-20SGCHFCH-2019,😏😏😏 m trying to act atas dont expose leh,COSEM_v5_chunk_1182.txt,20,SG,CH,F,2019,neu,,7
17CF30-2286-20SGMAF00-2013,Happy birthday KJ/M/CH/20! ?????????????,COSEM_v5_chunk_339.txt,20,SG,MA,F,2013,pos,,0
17CF18-6289-22SGCHM00-2016,‬: Wah lau ED/M/CH/22 this one serious matter sia LOL‬‬‬‬‬‬‬‬,COSEM_v5_chunk_274.txt,22,SG,CH,M,2016,neg,H2_codeswitch,6
19CF03-11347-22SGCHF0D-2018,Really meh? You go out you won’t smoke meh,COSEM_v5_chunk_911.txt,22,SG,CH,F,2018,neg,H1_particle,7
19CM03-40451-23SGMAMAA-2018,You email the prof whose lesson you can skip or the lesson you want to bid for!,COSEM_v5_chunk_993.txt,23,SG,MA,M,2018,neu,,0
19CF07-123-24SGCHM00-2017,Wah siao that foundation my favourite sia,COSEM_v5_chunk_920.txt,24,SG,CH,M,2017,neg,H2_codeswitch,7
18IF06-2287-19SGCHF00-2016,Haiz ya lor very sian leh~ coz i think about 6 then do finish,COSEM_v5_chunk_833.txt,19,SG,CH,F,2016,neg,H2_codeswitch,7
21DC21-2094-53SGCHFMH-2017,I think I have a pot for induction stove which I can't use.,COSEM_v5_chunk_1193.txt,53,SG,CH,F,2017,neu,,0
18CF37-1877-21SGCHM00-2014,eh eh eh we can go thr for thurs lunch!!!! ,COSEM_v5_chunk_517.txt,21,SG,CH,M,2014,pos,,9
18CF41-20743-22SGCHF00-2017,Plus gem more manageable for overloading,COSEM_v5_chunk_582.txt,22,SG,CH,F,2017,pos,,0
18CF52-7287-23SGCHM00-2016,Guys I finally can sleep liao let me sleep hor. Do not disturb me or call me wake up ðŸ˜˜,COSEM_v5_chunk_668.txt,23,SG,CH,M,2016,pos,H1_particle,6
17CF10-1918-20SGCHF00-2015,Wa sian I think I really gonna have my period during pharm camp Liao 😭😭😭until now still haven't come,COSEM_v5_chunk_93.txt,20,SG,CH,F,2015,neg,H2_codeswitch,7
21DC19-8943-20SGCHFFT-2019,right....? Then one word one colour kind of feels,COSEM_v5_chunk_1160.txt,20,SG,CH,F,2019,neu,,0
18CF39-5172-25SGMAM00-2016,You know just now when you ask about me buying a headset and i said not yet,COSEM_v5_chunk_540.txt,25,SG,MA,M,2016,neu,,0
21DC19-10900-21SGCHFFT-2020,what faculty ah? political science? wah siao liao singapore no more future,COSEM_v5_chunk_1162.txt,21,SG,CH,F,2020,neg,H2_codeswitch,7
19CF03-16836-35SGCHM00-2018,"39CHM really is ""song song gao jurong"".. his play his sound from his house beyond jurong",COSEM_v5_chunk_916.txt,35,SG,CH,M,2018,pos,H2_codeswitch,6
17CF08-7423-22SGCHF00-2015,Ak/SgIn/M/23 the more you Wish for a deepika the lesser the chances of you getting one,COSEM_v5_chunk_76.txt,22,SG,CH,F,2015,neu,,0
21DC05-3465-23SGCHM0B-2020,I have a finals the following Tues and I haven't touched a single tut,COSEM_v5_chunk_1076.txt,23,SG,CH,M,2020,neg,,0
18CF52-23993-52SGCHF00-2017,Dont good or bad news arh. I am confirmed menopause liao 😂😂😂,COSEM_v5_chunk_684.txt,52,SG,CH,F,2017,neg,H3_sarcasm,6
21DC20-2584-22SGCHMDT-2019,Who do you think you are breathing our air Why don’t you move over there We slay through the battlefield! We strike as one! Cos everyone knows we’re number one! ONE ONE WHAT YOU WANT AND WE GOOOOO.... Ang eh ang eh ang eh bo ta bo lampa eh x3 (progressively louder),COSEM_v5_chunk_1171.txt,22,SG,CH,M,2019,pos,,10
18OM01-12557-25SGCHM00-2016,THEN HE TOOK OUT SOMEMORE MONEY TO BUY FRUITS,COSEM_v5_chunk_890.txt,25,SG,CH,M,2016,neg,H3_sarcasm,0
19CM03-28256-21SGCHFWJ-2017,Haha he came to my church before also LOL,COSEM_v5_chunk_981.txt,21,SG,CH,F,2017,neg,H3_sarcasm,0
18MF03-4782-23SGMAF00-2017,Eh guys cepat eh sampai I macam awkward lah sorang2 😂😂😂,COSEM_v5_chunk_848.txt,23,SG,MA,F,2017,neg,H2_codeswitch,8
18CF37-10201-21SGCHM00-2014,No lah no lah they got good singers inside,COSEM_v5_chunk_525.txt,21,SG,CH,M,2014,pos,,7
18CF41-32077-22SGCHM00-2017,Eh dy kallang shiok leh just paddled there for the first time ytd,COSEM_v5_chunk_592.txt,22,SG,CH,M,2017,pos,H2_codeswitch,7
